City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,uturoa,-16.7333,-151.4333,27.0,67,2,8.39,PF,2023-06-28
115,saint-philippe,-21.3585,55.7679,19.77000000000004,76,25,5.13,RE,2023-06-28
116,badger,64.8,-147.5333,20.840000000000032,60,100,2.06,US,2023-06-28
117,punta arenas,-53.15,-70.9167,2.0600000000000023,93,100,5.66,CL,2023-06-28
118,ipilan,8.8431,117.9033,26.83000000000004,84,99,2.37,PH,2023-06-28
119,papatowai,-46.5619,169.4708,9.110000000000014,88,100,5.83,NZ,2023-06-28
120,wailua homesteads,22.0669,-159.378,27.439999999999998,77,75,6.17,US,2023-06-28
121,dondo,-19.6094,34.7431,21.730000000000018,83,5,1.93,MZ,2023-06-28
122,dhamtari,20.7072,81.5497,25.160000000000025,84,100,2.73,IN,2023-06-28
123,avarua,-21.2078,-159.775,27.03000000000003,89,40,2.57,CK,2023-06-28
124,bredasdorp,-34.5322,20.0403,10.930000000000007,84,11,2.52,ZA,2023-06-28
125,alice springs,-23.7,133.8833,12.900000000000034,53,100,25.48,AU,2023-06-28
126,tralee,52.2704,-9.7026,13.689999999999998,76,44,4.29,IE,2023-06-28
127,basco,20.4487,121.9702,28.200000000000045,85,100,7.79,PH,2023-06-28
128,ancud,-41.8697,-73.8203,8.400000000000034,80,100,2.22,CL,2023-06-28
129,ubinskoye,55.3068,79.6802,11.25,96,100,6.8,RU,2023-06-28
130,labytnangi,66.6572,66.4183,6.28000000000003,67,48,3.01,RU,2023-06-28
131,invercargill,-46.4,168.35,8.210000000000036,85,80,3.42,NZ,2023-06-28
132,rio grande city,26.3798,-98.8203,38.82000000000005,22,0,8.02,US,2023-06-28
133,san antonio de pale,-1.4014,5.6325,24.83000000000004,77,100,5.78,GQ,2023-06-28
134,kapa'a,22.0752,-159.319,28.180000000000007,77,75,6.17,US,2023-06-28
135,iskateley,67.6803,53.1512,7.150000000000034,71,100,1.41,RU,2023-06-28
136,san julian,21.0167,-102.1667,29.79000000000002,20,14,3.54,MX,2023-06-28
137,sao vicente,-23.9631,-46.3919,29.590000000000032,40,0,1.54,BR,2023-06-28
138,blackmans bay,-43.0167,147.3167,5.2900000000000205,82,91,3.82,AU,2023-06-28
139,weno,7.4515,151.8468,27.970000000000027,83,100,4.12,FM,2023-06-28
140,duekoue,6.7472,-7.3496,23.04000000000002,87,100,1.03,CI,2023-06-28
141,sinabang,2.4803,96.3801,26.220000000000027,83,99,1.81,ID,2023-06-28
142,fort bragg,35.139,-79.006,31.920000000000016,43,40,2.57,US,2023-06-28
143,zapata,26.9073,-99.2714,40.06,21,0,5.14,US,2023-06-28
144,huilong,31.8111,121.655,25.960000000000036,90,100,4.0,CN,2023-06-28
145,waynesville,35.4887,-82.9887,28.75,53,0,1.34,US,2023-06-28
146,mermoz boabab,14.7065,-17.4758,28.310000000000002,76,91,3.52,SN,2023-06-28
147,pico truncado,-46.7949,-67.9573,4.330000000000041,57,100,2.4,AR,2023-06-28
148,begun,24.9833,75.0,25.07000000000005,86,100,2.87,IN,2023-06-28
149,hammerfest,70.6634,23.6821,9.25,87,75,3.09,NO,2023-06-28
150,yuzhno-kurilsk,44.0306,145.8556,13.610000000000014,100,100,1.53,RU,2023-06-28
151,jebrail,39.3992,47.0283,21.80000000000001,54,12,1.84,AZ,2023-06-28
152,broken hill,-31.95,141.4333,5.53000000000003,97,8,4.78,AU,2023-06-28
153,tura,25.5198,90.2201,23.340000000000032,98,94,3.15,IN,2023-06-28
154,shiyan,32.6475,110.7781,23.30000000000001,95,100,1.47,CN,2023-06-28
155,hailin,44.5833,129.4167,17.49000000000001,95,94,0.82,CN,2023-06-28
156,las heras,-46.5419,-68.9359,3.6899999999999977,63,100,1.85,AR,2023-06-28
157,popondetta,-8.7537,148.2534,21.04000000000002,83,58,1.36,PG,2023-06-28
158,balabac,7.9868,117.0645,27.370000000000005,80,55,2.2,PH,2023-06-28
159,kone,-21.0595,164.8658,15.689999999999998,80,6,1.03,NC,2023-06-28
160,minot,48.2325,-101.2963,28.120000000000005,39,75,2.57,US,2023-06-28
161,mbanza kongo,-6.267,14.2401,20.04000000000002,78,7,1.2,AO,2023-06-28
162,miramichi,47.0043,-65.4654,22.890000000000043,76,100,5.86,CA,2023-06-28
163,monahans,31.5943,-102.8926,41.379999999999995,15,1,0.45,US,2023-06-28
164,turpan,42.9333,89.1667,32.54000000000002,18,61,2.44,CN,2023-06-28
165,aswan,24.0934,32.907,37.610000000000014,8,0,5.14,EG,2023-06-28
166,labrador city,52.9463,-66.9114,14.950000000000045,94,100,5.66,CA,2023-06-28
167,coquimbo,-29.9533,-71.3436,16.850000000000023,72,0,7.2,CL,2023-06-28
168,antalaha,-14.9003,50.2788,19.07000000000005,80,4,3.19,MG,2023-06-28
169,luanda,-8.8368,13.2343,22.0,73,75,3.09,AO,2023-06-28
170,nemuro,43.3236,145.575,12.75,99,100,3.84,JP,2023-06-28
171,zinjibar,13.1287,45.3807,32.04000000000002,68,88,0.7,YE,2023-06-28
172,hithadhoo,-0.6,73.0833,27.78000000000003,61,65,1.95,MV,2023-06-28
173,fort-shevchenko,44.5086,50.263,24.650000000000034,58,0,3.89,KZ,2023-06-28
174,fonte boa,-2.4959,-66.2662,31.129999999999995,59,94,1.97,BR,2023-06-28
175,romorantin-lanthenay,47.4167,1.8333,22.810000000000002,68,32,0.0,FR,2023-06-28
176,zuyevka,58.405,51.1335,13.300000000000011,92,62,1.78,RU,2023-06-28
177,arno,60.1167,18.6333,17.660000000000025,76,5,2.22,SE,2023-06-28
178,oriximina,-1.7656,-55.8661,29.930000000000007,55,86,1.76,BR,2023-06-28
179,takoradi,4.8845,-1.7554,24.120000000000005,91,82,3.3,GH,2023-06-28
180,puerto asis,0.5133,-76.5007,22.140000000000043,98,100,0.86,CO,2023-06-28
181,gilgit,35.9221,74.3087,22.77000000000004,75,99,1.08,PK,2023-06-28
182,beira,-19.8436,34.8389,22.05000000000001,83,20,3.13,MZ,2023-06-28
183,luba,3.4568,8.5547,25.710000000000036,86,98,3.61,GQ,2023-06-28
184,callao,-12.0667,-77.15,23.160000000000025,60,0,5.14,PE,2023-06-28
185,port lincoln,-34.7333,135.8667,11.390000000000043,70,100,3.96,AU,2023-06-28
186,keflavik,64.0049,-22.5624,9.240000000000009,87,75,13.38,IS,2023-06-28
187,karratha,-20.7377,116.8463,14.620000000000005,49,0,6.43,AU,2023-06-28
188,udachny,66.4167,112.4,11.360000000000014,57,100,2.11,RU,2023-06-28
189,jamestown,42.097,-79.2353,21.400000000000034,78,100,3.09,US,2023-06-28
190,vila franca do campo,37.7167,-25.4333,22.230000000000018,86,95,6.04,PT,2023-06-28
191,pisco,-13.7,-76.2167,21.03000000000003,68,0,4.12,PE,2023-06-28
192,touros,-5.1989,-35.4608,24.99000000000001,89,18,6.36,BR,2023-06-28
193,dongtai,32.8523,120.3095,26.970000000000027,84,100,3.82,CN,2023-06-28
194,nova vicosa,-17.8919,-39.3719,22.980000000000018,82,0,3.03,BR,2023-06-28
195,crane,31.3974,-102.3501,39.19,10,2,10.93,US,2023-06-28
196,noosa heads,-26.3833,153.15,21.170000000000016,73,100,6.02,AU,2023-06-28
197,glens falls north,43.3351,-73.6825,24.79000000000002,84,100,2.57,US,2023-06-28
198,dongola,19.1667,30.4833,34.650000000000034,10,92,4.65,SD,2023-06-28
199,bardsir,29.9227,56.5743,27.99000000000001,21,2,2.68,IR,2023-06-28
200,prado,-17.3411,-39.2208,22.420000000000016,87,10,3.29,BR,2023-06-28
201,olonkinbyen,70.9221,-8.7187,5.560000000000002,98,100,5.8,SJ,2023-06-28
202,hawaiian paradise park,19.5933,-154.9731,27.07000000000005,72,20,2.06,US,2023-06-28
203,remire-montjoly,4.9167,-52.2667,26.02000000000004,89,100,2.06,GF,2023-06-28
204,irati,-25.4672,-50.6511,18.58000000000004,68,0,1.29,BR,2023-06-28
205,kalianget,-7.05,113.9333,26.350000000000023,82,59,3.15,ID,2023-06-28
206,port elizabeth,-33.918,25.5701,12.950000000000045,97,0,2.06,ZA,2023-06-28
207,eilat,29.5581,34.9482,33.910000000000025,31,0,9.77,IL,2023-06-28
208,alofi,-19.0595,-169.9187,24.939999999999998,73,29,4.12,NU,2023-06-28
209,geraldton,-28.7667,114.6,6.230000000000018,87,0,0.0,AU,2023-06-28
210,concepcion,-36.827,-73.0498,10.890000000000043,82,0,5.14,CL,2023-06-28
211,trairi,-3.2778,-39.2689,27.980000000000018,71,4,4.88,BR,2023-06-28
212,dzhankoy,45.7167,34.4,20.05000000000001,71,6,1.96,UA,2023-06-28
213,daru,-9.0763,143.2092,23.730000000000018,79,11,4.06,PG,2023-06-28
214,wuwei,37.9281,102.6414,19.49000000000001,41,90,2.08,CN,2023-06-28
215,argo,37.6333,22.7333,26.55000000000001,63,0,1.73,GR,2023-06-28
216,hassi messaoud,31.6804,6.0729,37.920000000000016,13,0,2.06,DZ,2023-06-28
217,khandyga,62.6667,135.6,19.08000000000004,89,83,1.66,RU,2023-06-28
218,kimbe,-5.5502,150.1429,23.910000000000025,90,90,1.9,PG,2023-06-28
219,coro,11.4045,-69.6734,29.140000000000043,74,59,6.41,VE,2023-06-28
220,chillicothe,39.3331,-82.9824,29.439999999999998,50,40,0.0,US,2023-06-28
221,planaltina,-15.4528,-47.6142,23.910000000000025,29,0,2.42,BR,2023-06-28
222,nampula,-15.1165,39.2666,18.970000000000027,72,20,1.31,MZ,2023-06-28
223,vilyuchinsk,52.9306,158.4028,12.150000000000034,95,90,0.72,RU,2023-06-28
224,talnakh,69.4865,88.3972,10.670000000000016,67,9,1.36,RU,2023-06-28
225,shimoda,34.6667,138.95,25.060000000000002,83,41,6.97,JP,2023-06-28
226,sai buri,6.7013,101.6168,25.450000000000045,87,97,1.82,TH,2023-06-28
227,kismayo,-0.3582,42.5454,25.010000000000048,82,49,6.44,SO,2023-06-28
228,guerrero negro,27.9769,-114.0611,21.470000000000027,60,9,8.06,MX,2023-06-28
229,ola,59.5833,151.2833,12.32000000000005,87,49,0.36,RU,2023-06-28
